ApplyEyeMakeup,ApplyLipstick,Archery,BabyCrawling,BalanceBeam,BandMarching,BaseballPitch,Basketball,BasketballDunk,BenchPress,Biking,Billiards,BlowDryHair,BlowingCandles,BodyWeightSquats,Bowling,BoxingPunchingBag,BoxingSpeedBag,BreastStroke,BrushingTeeth,CleanAndJerk,CliffDiving,CricketBowling,CricketShot,CuttingInKitchen,Diving,Drumming,Fencing,FieldHockeyPenalty,FloorGymnastics,FrisbeeCatch,FrontCrawl,GolfSwing,Haircut,HammerThrow,Hammering,HandstandPushups,HandstandWalking,HeadMassage,HighJump,HorseRace,HorseRiding,HulaHoop,IceDancing,JavelinThrow,JugglingBalls,JumpRope,JumpingJack,Kayaking,Knitting,LongJump,Lunges,MilitaryParade,Mixing,MoppingFloor,Nunchucks,ParallelBars,PizzaTossing,PlayingCello,PlayingDaf,PlayingDhol,PlayingFlute,PlayingGuitar,PlayingPiano,PlayingSitar,PlayingTabla,PlayingViolin,PoleVault,PommelHorse,PullUps,Punch,PushUps,Rafting,RockClimbingIndoor,RopeClimbing,Rowing,SalsaSpin,ShavingBeard,Shotput,SkateBoarding,Skiing,Skijet,SkyDiving,SoccerJuggling,SoccerPenalty,StillRings,SumoWrestling,Surfing,Swing,TableTennisShot,TaiChi,TennisSwing,ThrowDiscus,TrampolineJumping,Typing,UnevenBars,VolleyballSpiking,WalkingWithDog,WallPushups,WritingOnBoard,YoYo
9,7,3,5,0,2,0,0,0,0,7,0,22,7,1,4,1,9,3,41,0,0,0,1,1,0,0,1,0,2,0,1,0,19,2,1,1,3,2,0,0,0,0,0,0,20,0,0,0,0,0,1,0,1,6,0,0,14,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,6,11,0,5,21,1,0,0,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1
2,9,0,4,0,0,0,0,1,2,0,0,7,5,2,0,22,7,0,7,1,1,13,0,0,1,0,2,0,0,0,9,0,5,3,0,0,0,0,3,0,0,2,0,0,0,1,0,1,0,23,4,0,0,3,1,2,7,0,0,7,1,1,1,2,0,9,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,2,0,7,2,0,0,1,0,0,3,0,2,0,0,1,0,0,30
0,1,3,2,4,11,0,5,0,0,15,0,0,9,0,0,0,0,0,0,2,0,2,1,0,7,19,18,1,0,0,3,0,15,0,0,0,21,9,4,1,0,1,0,2,3,0,0,14,1,1,19,6,0,3,1,0,11,0,3,0,1,2,1,0,0,0,13,0,1,5,0,3,4,10,4,5,0,0,6,8,2,2,34,0,9,7,0,4,4,3,0,2,4,0,2,1,3,0,0,0
0,1,1,12,2,6,0,0,1,0,4,1,6,2,1,7,0,0,4,1,0,5,0,4,2,1,1,1,2,5,5,11,1,3,2,2,4,7,3,0,1,4,0,0,1,0,0,0,4,4,2,4,0,1,5,0,3,3,1,0,1,0,0,0,1,0,1,1,3,0,1,1,3,8,1,6,2,1,1,1,4,1,2,0,0,0,2,4,4,0,2,0,0,1,0,4,0,1,1,1,4
0,0,0,0,23,1,2,0,5,0,1,2,0,0,0,1,1,0,0,1,1,2,0,0,0,1,0,4,5,5,2,1,0,0,1,0,0,1,0,2,0,0,0,5,1,0,0,0,5,1,1,0,2,1,1,0,8,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,5,1,1,3,1,0,1,1,2,4,2,1,0,4,1,2,0,1,0,0,0,1,0,22,0,3,0,0,0
2,0,2,5,2,84,1,0,3,1,4,0,3,0,0,5,2,2,1,2,0,13,2,1,0,2,2,2,0,3,3,27,1,2,3,1,0,0,1,4,0,4,0,1,3,1,0,1,29,0,13,7,11,0,2,1,11,4,1,0,0,2,0,0,1,0,0,10,0,0,20,0,15,24,5,6,1,6,0,2,5,0,1,1,0,2,5,0,19,0,0,0,1,4,0,3,4,3,0,0,3
0,0,1,0,0,0,18,1,1,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,6,0,1,0,0,2,0,6,4,0,1,45,3,0,0,0,0,0,2,0,7,0,0,5,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,5,0,0,0,1,1,0,9,1,0,2,0,1,1,1,2,0,0,0,1,0,0,1
0,0,1,0,15,1,1,4,1,0,5,0,0,0,1,1,1,1,0,0,2,7,0,0,0,5,0,0,0,1,0,0,0,0,2,0,1,2,0,5,1,3,0,1,2,0,0,0,4,0,1,2,5,1,1,1,1,1,1,0,1,0,0,0,0,0,0,11,0,0,7,1,3,0,1,10,0,0,0,0,0,5,0,2,1,2,2,0,3,0,1,9,10,8,0,0,16,4,0,2,0
0,0,0,0,7,3,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,3,1,0,0,0,2,0,0,1,2,3,1,0,0,1,1,0,0,0,4,0,2,3,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,7,0,1,0,0,1,0,0,1,0,1,2,0,0,0,5,12,0,1,0,0,0,0,0,0,7,2,1,0,0,0
0,0,0,3,4,4,0,1,1,2,5,0,2,1,0,1,3,0,0,1,2,0,0,0,2,3,2,1,2,0,0,1,1,8,2,1,0,0,15,0,2,2,0,0,0,0,0,1,9,2,1,23,5,0,8,0,1,3,0,0,1,4,1,0,0,0,0,9,3,1,15,0,2,13,2,2,0,0,1,1,2,0,0,3,0,0,10,0,15,0,0,0,4,6,0,0,2,3,0,0,3
0,0,0,4,0,2,3,2,3,0,49,1,0,0,0,2,0,0,5,1,1,2,3,1,1,2,1,0,1,1,0,4,0,1,0,1,0,2,6,1,1,8,2,0,9,0,0,1,11,1,0,11,0,0,8,1,1,0,0,1,0,0,0,0,0,0,1,8,3,0,4,0,5,12,2,6,5,1,0,0,6,2,4,5,0,0,5,0,7,1,1,0,1,3,0,4,0,10,2,2,0
0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
